Rank,Name,Team,Position,Pass Comp/Att,Pass Yds,Pass TD,Pass INT,Rush Car,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Targets,Standard,Half PPR,PPR,Projected,Bye Week
220,Sam Darnold,Sea,QB,357/548,3885,22,14,222,2,0,0,0,0,0,215.6,215.6,215.6,2.2,8
221,Kendre Miller,NO,RB,0/0,0,0,0,75,320,2,11,75,0,14,51.5,57,62.5,1,11
222,Rico Dowdle,Dal,RB,0/0,0,0,0,75,338,2,21,149,1,28,66.7,77.2,87.7,1.1,10
223,Miles Sanders,Car,RB,0/0,0,0,0,95,419,3,9,55,0,12,65.4,69.9,74.4,1,14
225,DJ Giddens,IN,RB,0/0,0,0,0,14,58,0,39,0,0,7,5.8,25.3,44.8,1,6
226,Samaje Perine,Den,RB,0/0,0,0,0,46,197,1,17,137,1,21,45.4,53.9,62.4,1,12
227,Gabe Davis,Buf,WR,0/0,0,0,0,0,0,0,45,465,2,65,58.5,81,103.5,1,7
228,Ray-Ray McCloud III,Atl,WR,0/0,0,0,0,0,0,0,45,465,2,65,58.5,81,103.5,1,5
229,Josh Reynolds,NO,WR,0/0,0,0,0,0,0,0,39,496,4,65,73.6,93.1,112.6,1,11
230,Dyami Brown,Jax,WR,0/0,0,0,0,0,0,0,40,517,3,63,69.7,89.7,109.7,1,8
