name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Kyle Pitts Sr.,TE,ATL,,0,0,0,0,0,0,0,0,80.1,863.3,3.2,114.9,0,0,0,0,0,0,0,185.6
DK Metcalf,WR,PIT,,0,0,0,0,0,0,0,0,64.7,941.1,6.1,113.4,0,0,0,0,0,0,0,195
Mike Evans,WR,SF,,0,0,0,0,0,0,0,0,58.4,924.4,6.3,102,0,0,0,0,0,0,0,188.3
Courtland Sutton,WR,DEN,,0,0,0,0,0,0,0,0,69.4,892.7,7.6,118.7,0,0,0,0,0,0,0,204.2
Tony Pollard,RB,TEN,,0,0,0,0,0,247.2,1075.9,5.6,29.7,180.5,0.5,38.6,0,0,0,0,0,0,0,189.6
Aaron Jones Sr.,RB,MIN,,0,0,0,0,0,169.8,738.8,3.7,47,343.9,2.1,60.9,0,0,0,0,0,0,0,188.4
Sam LaPorta,TE,DET,Q,0,0,0,0,0,0,0,0,78.3,787.8,5.4,102.2,0,0,0,0,0,0,0,188.8
Jaxson Dart,QB,NYG,,326.8,503,3686.7,20.9,10.2,100.8,553.4,6.5,0,0,0,0,0,0,0,0,0,0,0,300.9
Christian Watson,WR,GB,,0,0,0,0,0,2.2,13.1,0.1,54.9,869.8,7.1,94.3,0,0,0,0,0,0,0,186
Jaylen Warren,RB,PIT,,0,0,0,0,0,179.7,787.6,4.4,46.1,318.7,1.4,56.7,0,0,0,0,0,0,0,190.7
Chris Godwin Jr.,WR,TB,,0,0,0,0,0,0,0,0,63.6,749.8,4.8,96,0,0,0,0,0,0,0,167.3
Jakobi Meyers,WR,JAX,,0,0,0,0,0,6,32,0.3,69.7,766.3,5.2,107.6,0,0,0,0,0,0,0,181.8
Parker Washington,WR,JAX,,0,0,0,0,0,8.1,39,0.3,63.7,849.9,5.2,107.6,0,0,0,0,0,0,0,187.7
Brian Thomas Jr.,WR,JAX,,0,0,0,0,0,4,23.2,0.2,57,860.1,5.1,102,0,0,0,0,0,0,0,176.5
Kenneth Gainwell,RB,TB,,0,0,0,0,0,109,482.7,4.4,51.9,343.5,2.1,64,0,0,0,0,0,0,0,172.8
Wan'Dale Robinson,WR,TEN,,0,0,0,0,0,4.1,22.4,0.1,78.9,815.2,1.9,115.8,0,0,0,0,0,0,0,174
Rachaad White,RB,WSH,,0,0,0,0,0,134.8,567.2,5.1,46.9,295.1,1.9,51.6,0,0,0,0,0,0,0,174.7
Rico Dowdle,RB,PIT,,0,0,0,0,0,222.4,970.8,5.5,29.2,209.9,1.1,39.7,0,0,0,0,0,0,0,185
J.K. Dobbins,RB,DEN,,0,0,0,0,0,216.7,1012.4,6.9,19.3,118.3,0.7,25.4,0,0,0,0,0,0,0,178.1
Travis Hunter,WR,JAX,Q,0,0,0,0,0,2,10.8,0.1,41.6,496.2,3.3,68,0,0,0,0,0,0,0,113.1
